month,day,eol_per,hid_per,solFot_per,solTer_per,termRenov_per,Nuclear_per,Demand_per
5,24,-0.1395117121999371,0.09677119608970396,0.2864867768502338,0.4528885416585903,-0.010118446049415256,-0.21164685830807792,-0.07526008605472831
5,25,-0.16013079896069785,0.08957897169477652,0.2754728942717861,0.45418570315568335,-0.010117874435826485,-0.21219425180030327,-0.0744408963636807
5,26,-0.1808908441759477,0.08285860737809578,0.26538803076186795,0.45643570115496557,-0.010143907523511091,-0.2121782904498781,-0.07328320373945543
5,27,-0.2014848566961257,0.07662320440200461,0.25646261594920344,0.4598458313640183,-0.010161310103277407,-0.21159330737131452,-0.07176823303606478
5,28,-0.221609762212988,0.0708798697718438,0.248898980445102,0.46458578391068023,-0.01013466824513242,-0.2104348107841392,-0.0698859439970983
5,29,-0.24097415842405545,0.06562881578553308,0.24286629599990672,0.4707842623755462,-0.010029376610951086,-0.2086995508932856,-0.06763526904648653
5,30,-0.25930334490316664,0.06086326518915885,0.23849745460969682,0.4785264285929202,-0.009812618972099715,-0.20638570860599312,-0.06502425116984696
5,31,-0.27634508315204936,0.056569089390917204,0.23588637939161505,0.48785276743056916,-0.009454319127748391,-0.20349311616372592,-0.062069827083171415
6,1,-0.29187452570006023,0.05272464554505762,0.2350864743998853,0.49875917395554703,-0.008928033185911025,-0.2000235293658577,-0.05879735764736925
6,2,-0.3056985970049854,0.049300719073227146,0.2361101535745268,0.5111984211070617,-0.00821174853536987,-0.19598088789003731,-0.05523986093378628
6,3,-0.31765882006210605,0.04626081477025911,0.23892933413176962,0.5250820482604226,-0.007288620425815278,-0.1913718455147817,-0.05143722246569377
6,4,-0.3276348732241228,0.043561226140021364,0.2434770954515083,0.5402847820257172,-0.00614749612884322,-0.18620583855864095,-0.047434784765322036
6,5,-0.33554562691376866,0.0411516789618568,0.24965020675865304,0.5566484849659769,-0.004783374489274296,-0.18049561322426666,-0.043282175809563575
6,6,-0.3413500941250312,0.03897594496109869,0.2573125645345771,0.5739876018586194,-0.0031976698628566405,-0.17425751131906678,-0.03903180564686464
6,7,-0.3450472941047508,0.03697266727090133,0.2662994026753802,0.5920951063364854,-0.001398316599300045,-0.16751176605822787,-0.034737316141530826
6,8,-0.34667523019237156,0.03507632344308996,0.2764222714326343,0.6107491173572817,0.0006003215413496112,-0.16028266285585,-0.030451941810979162
6,9,-0.34630896182133264,0.033218439335034114,0.28747391304509484,0.6297186859684727,0.0027775934029823394,-0.15259906334342496,-0.026227126851904484
6,10,-0.34405805640435166,0.031328707870798736,0.29923467070968823,0.648771810734438,0.005107101808325112,-0.14449401075099602,-0.02211070249361483
