Date,eol,Nuclear,car,cc,hid,solFot,solTer,termRenov
2017-03-05,212555.91666666666,170504.8333333333,33335.33333333333,21046.333333333332,51979.416666666664,9789.083333333332,369.0833333333333,9662.25
2017-03-06,252595.8333333333,170376.5,34676.5,36744.0,71100.5,18643.916666666664,3616.833333333333,10334.833333333332
2017-03-07,207895.3333333333,170276.8333333333,64381.5,40350.83333333333,81758.91666666666,22930.75,9695.75,11126.083333333332
2017-03-08,82817.0,170417.3333333333,85111.66666666666,66367.33333333333,106902.0,25067.333333333332,14379.75,10825.0
2017-03-09,75305.66666666666,170292.5833333333,80320.91666666666,65855.25,103311.5,27053.25,18766.0,10293.25
2017-03-10,67123.91666666666,170316.5833333333,63637.0,64701.166666666664,97008.91666666666,28016.5,20702.416666666664,10520.25
2017-03-11,111276.41666666666,170206.3333333333,45686.166666666664,40369.166666666664,61404.58333333333,23766.416666666664,12339.25,9502.333333333332
2017-03-12,227039.75,169095.0,35435.916666666664,30390.083333333332,-288.33333333333326,22457.333333333332,16773.0,8546.5
2017-03-13,311353.25,170140.3333333333,42573.08333333333,30811.333333333332,63156.0,10485.5,2006.5,8677.5
2017-03-14,266277.8333333333,170356.41666666666,41847.25,34995.58333333333,78463.5,15924.583333333332,442.66666666666663,9189.0
2017-03-15,169264.91666666666,168733.91666666666,38815.166666666664,37943.75,81898.25,26197.166666666664,10664.25,9394.666666666666
2017-03-16,147126.16666666666,162846.5833333333,40187.08333333333,52911.0,92494.83333333333,26029.25,12037.25,10380.5
2017-03-17,109133.33333333333,162985.0,49118.08333333333,52386.916666666664,105672.91666666666,25841.5,9330.166666666666,9976.083333333332
2017-03-18,75695.0,166137.5,50168.83333333333,50751.08333333333,89013.33333333333,27673.25,17792.083333333332,9478.5
2017-03-19,49236.25,170050.41666666666,41729.25,50264.08333333333,71086.91666666666,27354.833333333332,18924.5,8953.666666666666
2017-03-20,66976.5,170362.41666666666,49600.58333333333,59838.58333333333,98733.91666666666,25932.666666666664,17098.25,8939.416666666666
2017-03-21,166330.75,170359.0,49593.08333333333,38223.58333333333,94079.16666666666,18407.833333333332,3958.333333333333,8496.416666666666
2017-03-22,210558.16666666666,170395.75,43234.25,33218.75,86951.08333333333,18108.166666666664,6232.083333333333,7638.666666666666
2017-03-23,130436.91666666666,170542.5,58952.33333333333,58802.25,109431.41666666666,20141.916666666664,6228.833333333333,8081.416666666666
2017-03-24,48537.166666666664,170579.25,64776.916666666664,106700.75,136983.5833333333,18639.5,8346.333333333332,8040.416666666666
2017-03-25,139177.0,170618.25,52329.916666666664,35288.08333333333,80099.16666666666,17781.083333333332,4433.0,7946.083333333333
2017-03-26,177456.5968582381,170510.43304576972,37516.64461741847,34975.935697798996,32299.580508823514,20034.084126765527,7523.9172973235445,7513.5799359977245
2017-03-27,163561.91666666666,170532.91666666666,72278.0,58535.25,93681.83333333333,16312.249999999998,3706.5,6525.416666666666
2017-03-28,81646.58333333333,170470.25,98985.25,56150.75,97823.5,25704.083333333332,13896.416666666666,6922.916666666666
2017-03-29,84605.91666666666,170407.16666666666,87445.41666666666,57779.916666666664,87791.33333333333,29197.25,20411.25,6831.333333333333
2017-03-30,158760.16666666666,170414.16666666666,69990.33333333333,45192.416666666664,69881.41666666666,24991.833333333332,13412.833333333332,7223.5
2017-03-31,182227.0833333333,170345.5,48015.0,41797.5,64058.33333333333,24651.666666666664,15770.333333333332,7912.583333333333
2017-04-01,235735.66666666666,170149.8333333333,32140.583333333332,31867.833333333332,32379.75,29045.833333333332,19462.166666666664,7739.583333333333
2017-04-02,147574.0833333333,170279.41666666666,33994.166666666664,37605.166666666664,49803.58333333333,29887.083333333332,22212.166666666664,7675.916666666666
2017-04-03,77004.75,170223.5833333333,69883.58333333333,58683.58333333333,103865.66666666666,30139.749999999996,22523.083333333332,7715.916666666666
2017-04-04,148737.0833333333,170088.5,70290.75,38677.666666666664,72282.58333333333,30469.083333333332,24607.833333333332,7555.0
2017-04-05,212003.41666666666,169999.8333333333,43663.58333333333,36357.25,48940.25,28543.333333333332,26645.75,7605.666666666666
2017-04-06,215379.8333333333,169821.25,44144.166666666664,35420.0,44280.916666666664,30904.0,26405.0,7802.166666666666
2017-04-07,105581.5,169640.5833333333,58660.33333333333,43380.33333333333,85678.5,30975.166666666664,26611.833333333332,8031.416666666666
2017-04-08,84856.33333333333,156590.8333333333,62730.0,44389.916666666664,63192.08333333333,30846.083333333332,27387.0,8166.75
2017-04-09,106029.66666666666,159767.25,50213.75,40824.416666666664,32252.999999999996,29775.833333333332,27081.75,8195.166666666666
2017-04-10,84815.91666666666,148695.16666666666,82233.58333333333,46594.0,71729.5,30330.416666666664,26075.0,8444.333333333332
2017-04-11,89233.91666666666,144302.5833333333,90782.83333333333,44090.08333333333,103992.83333333333,30477.333333333332,26608.25,8363.916666666666
2017-04-12,46482.83333333333,145682.0,97351.83333333333,59469.33333333333,93165.58333333333,30343.666666666664,27132.0,7938.083333333333
2017-04-13,58220.83333333333,150306.75,89206.16666666666,47352.08333333333,54632.08333333333,27898.583333333332,20852.833333333332,8358.833333333332
2017-04-14,64183.916666666664,158997.0,59222.75,47230.83333333333,39332.166666666664,26519.416666666664,17064.5,8418.5
2017-04-15,116003.25,168436.3333333333,42045.33333333333,41977.666666666664,37581.0,26962.083333333332,17665.833333333332,8351.083333333332
2017-04-16,102441.33333333333,169075.5833333333,42268.916666666664,41312.5,34329.58333333333,26622.0,13649.666666666666,8039.083333333333
2017-04-17,56355.25,169720.5833333333,64384.08333333333,45966.25,70480.83333333333,28941.083333333332,20270.833333333332,7492.083333333333
2017-04-18,171040.5,169532.8333333333,59948.33333333333,30590.916666666664,62021.33333333333,27659.833333333332,21840.5,7298.5
2017-04-19,280296.3333333333,169550.0,28585.333333333332,34227.08333333333,32498.916666666664,20559.5,11885.166666666666,7129.333333333333
2017-04-20,234027.91666666666,169800.5833333333,35545.25,32962.5,41661.58333333333,25327.916666666664,10347.0,7516.166666666666
2017-04-21,178660.66666666666,170067.25,47689.5,31929.166666666664,55509.75,29658.416666666664,16249.333333333332,7707.0
2017-04-22,98934.0,170052.66666666666,62358.416666666664,33482.166666666664,58569.416666666664,26752.75,11737.166666666666,7629.0
2017-04-23,57183.33333333333,170041.3333333333,74833.16666666666,49122.0,35472.5,28027.75,14918.583333333332,7501.916666666666
2017-04-24,52538.916666666664,169986.91666666666,85905.83333333333,61135.5,91200.58333333333,25126.083333333332,8145.583333333333,7625.416666666666
2017-04-25,113160.25,169851.0833333333,81710.33333333333,53635.25,78548.83333333333,21166.916666666664,5503.583333333333,8277.75
2017-04-26,193833.3333333333,169713.3333333333,82295.58333333333,48359.0,57744.166666666664,18573.333333333332,3878.9166666666665,8553.916666666666
2017-04-27,186364.16666666666,147816.5,88206.83333333333,49710.08333333333,65790.16666666666,19247.916666666664,7596.333333333333,8187.916666666666
2017-04-28,191145.5833333333,153866.16666666666,87310.91666666666,41851.666666666664,54047.75,15791.75,517.4166666666666,8299.5
2017-04-29,148767.8333333333,160733.41666666666,74085.33333333333,28731.083333333332,47322.166666666664,13323.5,5116.166666666666,8231.0
